id,usuario_id,descripcion,valor,categoria,fecha
1,1669,remis,82.86,Transporte,2026-06-27
2,148,sube,72.4,Transporte,2026-08-01
3,277,arreglo de persiana,1079.84,Vivienda,2026-10-27
4,232,aysa,78.36,Servicios,2026-01-15
5,366,ahorro mensual,288.64,Inversion,2026-08-02
6,1252,fac bootcamp,285.89,Educacion,2026-09-28
7,1675,cafetera,454.43,Electrodomesticos,2026-06-23
8,436,compra luz,104.54,Servicios,2026-05-12
9,399,pantalon de vestir,193.96,Vestimenta,2026-02-14
10,1235,tarjeta servicio de plomeria,834.13,Vivienda,2026-08-03
11,1415,cuota de prepaga,124.73,Salud,2026-07-23
12,499,pescaderia central,53.41,Alimentacion,2026-05-14
13,540,pago distribuidora alimentos,57.42,Alimentacion,2026-07-06
14,563,reparacion electrica,412.9,Vivienda,2026-04-07
15,1515,minipimer,245.37,Electrodomesticos,2026-07-02
16,442,compra campera invierno,44.9,Vestimenta,2026-07-10
17,1285,servicio de cerrajeria,352.76,Vivienda,2026-06-08
18,773,trabajo de carpinteria,446.14,Vivienda,2026-07-19
19,350,compra compra hipermercado,36.07,Alimentacion,2026-03-08
20,1376,tarjeta curso de idiomas,198.76,Educacion,2026-08-19
21,520,fac psicologo,83.15,Salud,2026-05-01
22,1344,fac transferencia broker,218.7,Inversion,2026-06-19
23,138,juegos steam,52.35,Ocio,2026-09-14
24,1574,ipuc,143.32,Servicios,2026-07-21
25,1647,flete por mudanza,395.89,Vivienda,2026-11-16
26,992,farmacity,175.07,Salud,2026-03-20
27,368,compra alquiler de bicicleta,37.33,Ocio,2026-07-28
28,1244,swrvicio de internet,72.67,Servicios,2026-08-30
29,1361,carniceria de barrio,56.69,Alimentacion,2026-09-22
30,1247,comprq de remedios,134.85,Salud,2026-02-09
31,1672,tarjeta combustible nafta,82.1,Transporte,2026-05-02
32,1792,impuesto inmobiliario,133.79,Servicios,2026-10-29
33,360,combustible ypf,69.96,Transporte,2026-06-23
34,921,mantenimiento de casa,856.66,Vivienda,2026-08-29
35,329,alquiler cancha,37.06,Ocio,2026-09-18
36,962,alineacion y balanceo,88.09,Transporte,2026-05-27
37,463,burgwr king,102.49,Ocio,2026-02-11
38,946,reparacion electrica,293.51,Vivienda,2026-12-31
39,963,fac pinta de cerveza,72.83,Ocio,2026-09-21
40,1585,seguro vida,139.67,Servicios,2026-07-23
41,1406,jumbo,45.16,Salud,2026-03-08
42,836,suscripcion hbo,97.48,Ocio,2026-01-11
43,1614,mantenimiento de red,120.0,Servicios,2026-10-28
44,1641,claro,116.72,Servicios,2026-03-11
45,169,compra libros,100.16,Educacion,2026-04-24
46,217,abono de celular,107.96,Servicios,2026-01-27
47,378,tarjeta cambio de cubiertas,93.77,Transporte,2026-12-01
48,119,compra btc,326.12,Inversion,2026-10-19
49,190,alquiler cancha,38.39,Ocio,2026-02-15
50,767,muebles,578.24,Vivienda,2026-08-06
51,370,tostadora,379.2,Electrodomesticos,2026-12-06
