id,usuario_id,descripcion,valor,categoria
1,2057,cuota prestamo banco,375.66,Deudas
2,2809,cuota universidad,272.03,Deudas
3,2997,supermercqdo carrefour,226.3,Alimentacion
4,1225,colectivo linea 60,45.49,Transporte
5,887,cerveceria artesanal,131.09,Ocio
6,393,analisis de sangre,300.29,Salud
7,1676,compra pago saldo refinanciado,192.86,Deudas
8,2447,taller de ingles,181.89,Educacion
9,2379,cuota prepaga osde,371.76,Salud
10,2528,servicio de agua aysa,82.77,Servicios
11,2182,cuota prestamo banco,777.3,Deudas
12,916,pintura habitacion,487.76,Vivienda
13,935,compra dolares banco,355.52,Deudas
14,355,comprq cafeteria,146.52,Ocio
15,2632,pago de supermercado coto,318.83,Alimentacion
16,1522,cuota jardin de infantes,784.81,Educacion
17,2673,compra libros de texto,351.96,Educacion
18,2338,factura luz edesur,68.36,Educacion
19,2873,abono telefonia movil,105.75,Servicios
20,629,cena restaurante,145.27,Ocio
21,2680,pago tarjeta de credito,333.49,Deudas
22,1171,carga sube,10.19,Transporte
23,327,factura gas metrogas,36.92,Servicios
24,1439,factura gas metrogas,53.81,Educacion
25,2258,fac expensas comunes,540.13,Vivienda
26,1422,combustible shell,64.55,Transporte
27,1127,expensas del edificio,591.62,Vivienda
28,2684,servicio de plomeria,889.4,Vivienda
29,1781,suscripcion netflix,120.94,Educacion
30,1532,servicio de agua aysa,76.66,Servicios
31,1915,optica lentes,366.34,Salud
32,2916,verduleria de la esquina,380.57,Alimentacion
33,1233,analisis de sangre,236.79,Salud
34,1957,compra dolares banco,702.04,Ahorros
35,2476,supermercado carrefour,376.46,Alimentacion
36,393,cuota prestamo auto,235.1,Deudas
37,826,combustible ypf,12.0,Transporte
38,2964,entradas recital,88.36,Ocio
39,1913,compra estudios clinicos,283.64,Salud
40,2396,servicio de agua aysa,198.26,Servicios
41,50,fac viaje uber,73.27,Transporte
42,2964,pinturq habitacion,979.39,Vivienda
43,1397,transferencia ahorro mensual,1423.11,Vivienda
44,1051,suscripcion netflix,136.33,Ocio
45,800,reparacion de cerradura,1120.29,Vivienda
46,1793,movimiento: taxis de la ciudad,44.52,Transporte
47,2697,transferencia ahorro mensual,279.59,Ahorros
48,1364,servicio de plomeria,638.66,Salud
49,2349,inversion en qcciones,1450.58,Ahorros
50,1566,movimiento: carga sube,13.16,Servicios
51,2214,servicio de agua aysa,86.17,Servicios
52,2364,utiles escolares,342.2,Educacion
53,1,movimiento: cuota prestamo banco,728.31,Alimentacion
54,1020,movimiento: cuota prestamo banco,531.9,Deudas
55,1285,pintura habitacion,504.94,Vivienda
56,63,expensqs del edificio,1094.21,Vivienda
57,2531,compra cuota prestamo banco,266.06,Deudas
58,1870,cuota prepaga osde,183.49,Salud
59,2270,factura gas metrogas,37.35,Servicios
60,152,pqgo tarjeta de credito,440.89,Deudas
61,644,pago de intereses,578.69,Deudas
62,626,pago alquiler mensual,256.63,Vivienda
63,217,inversion en acciones,1486.24,Ahorros
64,196,servicio de plomeriq,690.37,Vivienda
65,1015,cuota prestamo auto,257.93,Alimentacion
66,2695,fac cerveceria artesanal,119.73,Ocio
67,2756,cuotq universidad,465.47,Educacion
68,1522,pago de reparacion de cerradura,658.94,Vivienda
69,1579,matricula del colegio,108.6,Educacion
70,1081,fac supermercado coto,233.77,Alimentacion
71,1528,impuestos municipales,144.41,Servicios
72,722,cuota prestamo banco,504.14,Deudas
73,1608,fondo comun de inversion,844.58,Ahorros
74,1760,analisis de sangre,497.65,Salud
75,1563,plazo fijo,877.32,Ahorros
76,640,tarjeta taller de ingles,634.0,Educacion
77,2154,pago de cerveceria artesanal,85.1,Ocio
78,165,supermercqdo carrefour,62.96,Alimentacion
79,215,inversion en acciones,1227.96,Ahorros
80,1095,compra dolares banco,322.56,Ahorros
81,90,compra cafeteria,33.83,Ahorros
82,1796,cuota prestamo banco,987.09,Deudas
83,2922,tarjeta expensas del edificio,317.9,Vivienda
84,1252,taller de ingles,569.9,Educacion
85,1103,curso de progrqmacion,100.27,Educacion
86,608,abono telefonia movil,80.62,Vivienda
87,349,factura gas metrogas,66.61,Servicios
88,2942,servicio de agua aysa,69.43,Ocio
89,246,utiles escolqres,392.04,Educacion
90,272,servicio de plomeria,1088.62,Vivienda
91,2031,movimiento: cuota prestamo banco,487.6,Deudas
92,403,comprq supermercado dia,258.13,Alimentacion
93,1466,verduleria de la esquina,154.83,Alimentacion
94,1196,compra cafeteria,96.53,Ocio
95,2946,fac colectivo linea 60,55.35,Transporte
96,1080,medicamentos recetados,180.11,Vivienda
97,1615,servicio de plomeria,747.46,Vivienda
98,1127,colectivo lineq 60,73.59,Transporte
99,284,tarjeta servicio de agua aysa,82.72,Servicios
100,517,supermercado coto,250.85,Alimentacion
101,2666,estudios clinicos,266.06,Salud
102,1302,taxis de la ciudad,30.24,Educacion
103,612,compra dolares banco,1120.49,Ahorros
104,750,pago saldo refinanciado,224.19,Deudas
105,1293,medicamentos recetados,461.81,Salud
106,1857,pago de utiles escolares,317.95,Educacion
107,400,compra farmacia,173.23,Salud
108,1527,entradas recital,54.08,Ocio
109,2025,matricula del colegio,363.97,Educacion
110,2134,pago de peaje autopista,22.73,Salud
111,320,cuota prestamo auto,151.19,Deudas
112,1056,compra cafeteria,39.65,Ocio
113,336,compra farmacia,261.93,Salud
114,2099,supermercado carrefour,110.57,Alimentacion
115,174,taller de ingles,249.19,Educacion
116,1642,combustible ypf,12.03,Transporte
117,501,viaje uber,45.17,Transporte
118,2124,fac fondo comun de inversion,162.74,Ahorros
119,2364,factura gas metrogas,110.63,Servicios
120,1857,entradas recital,117.6,Ocio
121,1897,compra panaderia,51.94,Alimentacion
122,1664,combustible ypf,67.19,Transporte
123,1719,tarjeta factura gas metrogas,151.88,Servicios
124,1779,dentista limpieza,344.94,Salud
125,697,combustible ypf,70.26,Transporte
126,732,cena restaurante,63.23,Salud
127,1095,pago saldo refinanciado,929.6,Deudas
128,2902,pqgo de intereses,836.34,Alimentacion
129,2714,peaje autopista,37.93,Transporte
130,652,cerveceria artesanal,60.81,Ocio
131,1095,pago de cuota universidad,232.15,Educacion
132,46,factura gas metrogas,171.86,Servicios
133,1071,servicio de plomeria,751.35,Vivienda
134,1446,cqrga sube,56.93,Transporte
135,2197,analisis de sangre,496.71,Salud
136,2958,plazo fijo,1096.89,Ahorros
137,456,pago de intereses,349.77,Deudas
138,1663,transferencia ahorro mensual,802.5,Ahorros
139,2925,mqtricula del colegio,417.63,Educacion
140,966,compra libros de texto,449.67,Educacion
141,2021,abono internet fibertel,60.05,Servicios
142,869,abono internet fibertel,140.52,Servicios
143,1529,supermercado carrefour,240.36,Alimentacion
144,2977,compra libros de texto,630.01,Educacion
145,1001,pago de intereses,376.49,Servicios
146,774,abono telefonia movil,55.56,Servicios
147,2292,colectivo linea 60,66.61,Transporte
148,2522,fac cuota prestamo banco,821.3,Deudas
149,2430,colectivo linea 60,53.75,Transporte
150,1127,supermercqdo carrefour,192.44,Alimentacion
151,2537,cuota prepaga osde,79.9,Salud
152,1061,cuota prepaga osde,352.75,Salud
153,1678,cena restaurante,39.33,Ocio
154,1544,dentista limpieza,112.36,Transporte
155,397,factura gas metrogas,52.41,Educacion
156,2344,pago tarjeta de credito,792.26,Deudas
157,107,compra compra farmacia,42.7,Alimentacion
158,2908,plazo fijo,240.31,Ahorros
159,954,compra supermercado dia,187.19,Alimentacion
160,2578,compra compra farmacia,68.64,Salud
161,1849,analisis de sangre,117.29,Salud
162,934,factura gas metrogas,50.89,Servicios
163,288,matricula del colegio,171.47,Educacion
164,706,reparacion de cerradura,790.78,Vivienda
165,2044,pago de carga sube,27.68,Transporte
166,1485,abono internet fibertel,108.4,Servicios
167,215,compra farmacia,385.53,Salud
168,1305,fac factura luz edesur,68.79,Servicios
169,2780,fqctura luz edesur,129.92,Servicios
170,1978,viaje cabify,20.99,Ocio
171,1483,servicio de agua aysa,56.69,Servicios
172,1825,entradas recital,45.35,Ahorros
173,344,servicio de plomeria,1133.1,Vivienda
174,194,utiles escolares,723.1,Educacion
175,158,pago de intereses,477.58,Deudas
176,465,cuota universidad,327.83,Ahorros
177,2152,wstudios clinicos,208.01,Salud
178,2082,combustible shell,36.71,Transporte
179,2687,suscripcion spotify,29.61,Ocio
180,1750,entrqdas recital,88.19,Ocio
181,2373,abono telefonia movil,180.77,Servicios
182,2739,pago de intereses,334.46,Deudas
183,592,expensas comunes,1113.32,Servicios
184,2189,pago tarjeta de credito,353.5,Deudas
185,2522,compra supermercado dia,123.93,Educacion
186,1055,pago de suscripcion netflix,63.85,Ocio
187,884,suscripcion nwtflix,103.58,Ocio
188,63,cuota prepaga osde,43.97,Salud
189,1111,inversion en acciones,542.23,Ahorros
190,304,cuota universidad,678.8,Educacion
191,1085,compra supermercado dia,56.5,Alimentacion
192,396,tqrjeta factura luz edesur,52.75,Transporte
193,334,consulta medica de control,102.72,Salud
194,2834,fac pintura habitacion,343.25,Vivienda
195,411,cerveceriq artesanal,83.04,Ocio
196,2332,pago de intereses,375.43,Deudas
197,466,pago de pintura habitacion,1042.13,Vivienda
198,80,trqnsferencia ahorro mensual,294.41,Ahorros
199,2832,cuota prestamo banco,422.79,Deudas
200,1101,salida al cine,103.55,Ocio
201,1978,abono internet fibertel,114.26,Servicios
202,733,pago tarjeta de credito,165.35,Deudas
203,1818,combustible shell,35.66,Transporte
204,1564,compra libros de texto,478.84,Educacion
205,1385,fac factura gas metrogas,107.77,Servicios
206,2125,cuota prestamo auto,298.76,Deudas
207,2557,compra utiles escolares,549.55,Educacion
208,1188,cuota prepaga osde,154.24,Salud
209,1199,entradas recital,122.0,Ocio
210,2510,compra libros de texto,730.17,Educacion
211,1612,pqgo de intereses,683.92,Deudas
212,2293,transferencia ahorro mensual,1365.89,Ahorros
213,122,compra dolares banco,776.12,Ahorros
214,185,salida al cine,111.39,Ocio
