id,usuario_id,descripcion,valor,categoria,fecha
1,1669,remis,82.86,Transporte,2025-06-27
2,148,sube,72.4,Transporte,2025-08-01
3,277,arreglo de persiana,1079.84,Vivienda,2025-10-27
4,232,aysa,78.36,Servicios,2025-01-15
5,366,ahorro mensual,288.64,Inversion,2025-08-02
6,1252,fac bootcamp,285.89,Servicios,2025-09-28
7,1675,cafetera,454.43,Electrodomesticos,2025-06-23
8,436,compra luz,104.54,Servicios,2025-05-12
9,399,pantalon de vestir,193.96,Vestimenta,2025-02-14
10,1235,tarjeta servicio de plomeria,834.13,Vivienda,2025-08-03
11,1415,cuota de prepaga,124.73,Salud,2025-07-23
12,499,pescaderia central,53.41,Transporte,2025-05-14
13,540,pago distribuidora alimentos,57.42,Alimentacion,2025-07-06
14,563,reparacion electrica,412.9,Vivienda,2025-04-07
15,1515,minipimer,245.37,Electrodomesticos,2025-07-02
16,442,compra campera invierno,44.9,Vestimenta,2025-07-10
17,1285,servicio de cerrajeria,352.76,Vivienda,2025-06-08
18,773,trabajo de carpinteria,446.14,Vivienda,2025-07-19
19,350,compra compra hipermercado,36.07,Alimentacion,2025-03-08
20,1376,tarjeta curso de idiomas,198.76,Educacion,2025-08-19
21,520,fac psicologo,83.15,Salud,2025-05-01
22,1344,fac transferencia broker,218.7,Inversion,2025-06-19
23,138,juegos steam,52.35,Ocio,2025-09-14
24,1574,ipuc,143.32,Servicios,2025-07-21
25,1647,flete por mudanza,395.89,Vivienda,2025-11-16
26,992,farmacity,175.07,Salud,2025-03-20
27,368,compra entrada a museo,37.33,Ocio,2025-07-28
28,1244,swrvicio de internet,72.67,Servicios,2025-08-30
29,1361,carniceria de barrio,56.69,Transporte,2025-09-22
30,1247,comprq de remedios,134.85,Salud,2025-02-09
31,1672,tarjeta combustible nafta,82.1,Transporte,2025-05-02
32,1792,impuesto inmobiliario,133.79,Servicios,2025-10-29
33,360,combustible ypf,69.96,Transporte,2025-06-23
34,921,mantenimiento de casa,856.66,Vivienda,2025-08-29
35,329,parque de atracciones,37.06,Ocio,2025-09-18
36,962,alineacion y balanceo,88.09,Transporte,2025-05-27
37,463,burgwr king,102.49,Ocio,2025-02-11
38,946,reparacion electrica,293.51,Ocio,2025-12-31
39,963,fac cuota de gimnasio,72.83,Ocio,2025-09-21
40,1585,seguro vida,139.67,Servicios,2025-07-23
41,1406,jumbo,45.16,Alimentacion,2025-03-08
42,836,juego de mesa,97.48,Ocio,2025-01-11
43,1614,mantenimiento de red,120.0,Servicios,2025-10-28
44,1641,claro,116.72,Servicios,2025-03-11
45,169,compra libros,100.16,Electrodomesticos,2025-04-24
46,217,abono de celular,107.96,Servicios,2025-01-27
47,378,tarjeta cambio de cubiertas,93.77,Transporte,2025-12-01
48,119,compra btc,326.12,Inversion,2025-10-19
49,190,parque de atracciones,38.39,Ocio,2025-02-15
50,767,muebles,578.24,Vivienda,2025-08-06
51,370,tostadora,379.2,Electrodomesticos,2025-12-06
52,149,juegos steqm,68.1,Transporte,2025-06-21
53,1700,puma energy,4.19,Transporte,2025-01-22
54,652,facu,90.4,Educacion,2025-04-02
55,1512,personal,127.6,Inversion,2025-02-15
56,770,lavadero de autos,140.02,Transporte,2025-02-14
57,374,autoservicio,59.7,Inversion,2025-08-06
58,781,fac extractor de aire,545.38,Salud,2025-03-17
59,1717,luz,117.22,Servicios,2025-12-27
60,160,bybit,215.87,Inversion,2025-02-01
61,351,remera algodon,135.6,Vestimenta,2025-01-28
62,1312,factura de agua,140.68,Servicios,2025-07-07
63,1312,directv,134.21,Servicios,2025-10-31
64,892,verduleria express,80.64,Alimentacion,2025-03-10
65,1250,pago personal,60.37,Servicios,2025-03-09
66,523,libreria universitaria,268.63,Electrodomesticos,2025-11-09
67,522,cuota de hipoteca,601.11,Vivienda,2025-03-28
68,783,compra coca cola,81.89,Alimentacion,2025-05-14
69,273,teatro,122.3,Ocio,2025-07-28
70,936,tqrjeta bull market,321.1,Inversion,2025-08-12
71,1426,gas,159.86,Servicios,2025-04-30
72,183,movistar,196.82,Servicios,2025-06-05
73,1689,lavadero auto,87.9,Transporte,2025-09-25
74,488,qlineacion y balanceo,218.04,Transporte,2025-11-28
75,846,celulqr nuevo,400.86,Electrodomesticos,2025-01-07
76,124,impuesto de sellos,65.58,Ocio,2025-03-12
77,985,consola de juegos,300.4,Electrodomesticos,2025-11-13
78,1650,compra personal,72.54,Alimentacion,2025-03-19
79,790,paracetamol,176.63,Salud,2025-01-30
80,414,remis,161.53,Educacion,2025-07-16
81,1749,compra mep,266.43,Inversion,2025-04-19
82,1196,pescaderia,105.65,Alimentacion,2025-06-10
83,1312,tarjeta suscripcion hbo,108.1,Salud,2025-02-13
84,1459,medias,184.01,Vestimenta,2025-01-02
85,686,fac cuota de gimnasio,37.22,Ocio,2025-01-03
86,113,vestido de fiesta,382.53,Vestimenta,2025-07-30
87,888,plazo fijo crypto,179.19,Vestimenta,2025-04-30
88,122,electrodomesticos varios,674.96,Electrodomesticos,2025-06-06
89,1568,comprq usdt,145.87,Inversion,2025-07-19
90,1246,alineacion y balanceo,74.36,Transporte,2025-04-14
91,1655,ipuc,105.45,Servicios,2025-11-05
92,39,mqntenimiento auto,61.03,Transporte,2025-11-10
93,497,heladeria,107.09,Ocio,2025-06-18
94,780,compra salida cine,90.72,Ocio,2025-04-05
95,1257,estudios vista,92.82,Salud,2025-08-10
96,943,ecografia,208.6,Salud,2025-08-07
97,1554,inversion portfolio,365.8,Vestimenta,2025-09-16
98,149,expensas de departamento,137.9,Servicios,2025-02-28
99,1421,impuesto municipal,117.54,Servicios,2025-12-14
100,1022,claro,70.13,Servicios,2025-10-02
101,661,pizzeria,69.65,Alimentacion,2025-11-01
102,1662,tarjeta polleria del centro,52.29,Alimentacion,2025-06-27
103,302,salida teatro,65.25,Ocio,2025-05-19
104,1384,pago expensas de departamento,93.39,Servicios,2025-09-09
105,238,bonos soberanos,185.05,Inversion,2025-10-25
106,647,pizzeria,35.18,Alimentacion,2025-12-03
107,663,cqmbio de aceite,75.67,Vestimenta,2025-07-05
108,236,vtv,86.82,Transporte,2025-02-03
109,1760,claro,148.45,Servicios,2025-01-23
110,203,tarjeta cedears,166.47,Inversion,2025-04-15
111,256,tarjeta servicio de cloacas,85.46,Inversion,2025-05-31
112,598,compra eth,172.93,Educacion,2025-09-17
113,662,calzado deportivo,416.69,Vestimenta,2025-08-03
114,235,expensas,497.65,Vivienda,2025-04-22
115,1369,fiambreria y quesos,28.27,Alimentacion,2025-01-11
116,534,peaje acceso norte,49.91,Transporte,2025-08-12
117,860,almacen de campo,73.13,Alimentacion,2025-04-11
118,1490,comprq suscripcion spotify,110.46,Ocio,2025-05-11
119,770,bolwto de tren,150.36,Transporte,2025-10-16
120,541,peaje acceso norte,80.41,Transporte,2025-06-24
121,213,corredor inmobiliario,547.14,Vivienda,2025-07-02
122,463,pago alquiler,959.37,Servicios,2025-04-21
123,436,atencion medica,164.15,Salud,2025-11-14
124,283,traje de baño,300.21,Vestimenta,2025-04-10
125,1586,pqgo compra de muebles,324.67,Vivienda,2025-04-16
126,1631,tarjeta litoral gas,99.29,Servicios,2025-10-09
127,1487,compra cablevision,96.81,Servicios,2025-11-18
128,1431,panaderia artesanal,25.31,Alimentacion,2025-02-19
129,88,reparacion de gas,807.93,Vivienda,2025-02-27
130,1068,limpiezq,485.21,Vivienda,2025-09-17
131,461,compra de remedios,177.66,Educacion,2025-04-03
132,278,galeno,128.23,Salud,2025-11-25
133,1707,movistar fibra,118.04,Servicios,2025-07-12
134,421,tren,31.56,Transporte,2025-10-11
135,1725,cambio de cubiertas,182.19,Transporte,2025-02-14
136,1377,fibertel,101.48,Servicios,2025-02-21
137,696,fac compra btc crypto,208.23,Inversion,2025-01-31
138,515,abl,124.31,Servicios,2025-12-01
139,703,rentas,91.03,Servicios,2025-01-21
140,1654,comprq de medicamentos,131.55,Salud,2025-05-27
141,19,compra panaderia,34.42,Alimentacion,2025-03-09
142,23,honorarios inmobiliaria,356.45,Vivienda,2025-08-18
143,413,fac transferencia lemon,251.89,Inversion,2025-01-03
144,1054,patente municipal,125.32,Servicios,2025-06-20
145,108,servicio de alarma,176.41,Servicios,2025-05-13
146,1391,supermercado carrefour,45.42,Alimentacion,2025-03-16
147,1305,compra cerrajero,677.66,Vivienda,2025-09-11
148,1152,alquiler cancha futbol,65.76,Ocio,2025-06-28
149,1253,compras minimercado,28.21,Alimentacion,2025-02-24
150,1135,flete por mudanza,889.31,Vivienda,2025-10-08
151,136,ventilador,273.72,Electrodomesticos,2025-01-27
152,362,estacionamiento medido,165.57,Transporte,2025-01-08
153,1210,servicio de plomeria,516.19,Educacion,2025-08-22
154,1680,compra heladera,398.08,Electrodomesticos,2025-05-06
155,1608,estacionamiento medido,81.52,Transporte,2025-06-09
156,129,fondo comun fci,133.58,Inversion,2025-12-09
157,1285,ropa de trabajo,359.71,Vestimenta,2025-10-16
158,515,arreglos persiana,284.78,Vivienda,2025-05-05
159,449,flow,125.23,Servicios,2025-01-31
160,1128,tarjeta factura de luz,71.37,Servicios,2025-03-13
161,1507,flow,62.1,Servicios,2025-01-16
